product_type;exporter_cnpj;vol;port_of_export;country_of_destination
SOYBEANS;993264006809;2300000.0;SANTOS;VIETNAM
SOYBEANS;993264007368;2100000.0;PARANAGUA;CHINA (MAINLAND)
SOYBEANS;993264007449;5000000.0;PARANAGUA;CHINA (MAINLAND)
SOYBEAN OIL;1157555004606;1304691.322;ITAJAI;ANGOLA
SOYBEANS;1236287000116;5000000.0;PARANAGUA;CHINA (MAINLAND)
SOYBEANS;1236287000116;87350315.0;SAO FRANCISCO DO SUL;CHINA (MAINLAND)
SOYBEANS;1236287000116;2000000.0;SAO FRANCISCO DO SUL;PAKISTAN
SOYBEANS;1236287000116;298920.0;SAO FRANCISCO DO SUL;TAIWAN
SOYBEANS;1388495000130;66895000.0;SAO LUIS;CHINA (MAINLAND)
SOYBEAN OIL;1459630000272;65499.42999999999;PARANAGUA;EL SALVADOR
SOYBEAN OIL;1459630000272;27482.336;PARANAGUA;PANAMA
SOYBEANS;1655275000126;219500000.0;PARANAGUA;CHINA (MAINLAND)
SOYBEANS;1655275000126;6942860.0;SANTOS;CHINA (MAINLAND)
SOYBEANS;1655275000126;5013465.0;SAO FRANCISCO DO SUL;CHINA (MAINLAND)
SOYBEANS;1655275000126;2951684.0;SANTOS;THAILAND
SOYBEANS;1655275000126;500000.0;PARANAGUA;VIETNAM
SOYBEAN CAKE;1682695000100;2914298.832;PARANAGUA;FRANCE
SOYBEAN CAKE;1682695000525;1178216.49;SANTOS;JAPAN
SOYBEANS;1944366000181;192330119.625;SANTOS;CHINA (MAINLAND)
SOYBEAN CAKE;1961898000127;10057312.21;SANTOS;INDONESIA
SOYBEANS;1994951000196;2600000.0;PARANAGUA;BANGLADESH
SOYBEANS;1994951000196;85734624.0;PARANAGUA;CHINA (MAINLAND)
SOYBEANS;1994951000196;1524276.0;PARANAGUA;SOUTH KOREA
SOYBEANS;1994951000196;2500000.0;PARANAGUA;VIETNAM
SOYBEANS;2003402000175;14000000.0;SAO LUIS;CHINA (MAINLAND)
SOYBEANS;2003402000175;989690283.0;VITORIA;CHINA (MAINLAND)
SOYBEAN CAKE;2003402000175;20227238.487999998;SAO LUIS;GERMANY
SOYBEANS;2003402000175;29582984.0;VITORIA;JAPAN
SOYBEANS;2003402000175;79730000.0;VITORIA;THAILAND
SOYBEANS;2003402000175;5478022.0;SAO LUIS;TURKEY
SOYBEANS;2003402000175;1199000.0;VITORIA;VIETNAM
SOYBEANS;2003402000507;141747920.0;SANTOS;CHINA (MAINLAND)
SOYBEANS;2003402000760;69291272.0;SALVADOR;CHINA (MAINLAND)
SOYBEANS;2003402000760;838523076.5;SANTOS;CHINA (MAINLAND)
SOYBEANS;2003402000760;4000000.0;SAO FRANCISCO DO SUL;CHINA (MAINLAND)
SOYBEANS;2003402000760;64827489.0;VITORIA;CHINA (MAINLAND)
SOYBEAN CAKE;2003402000760;27837000.0;SANTOS;DENMARK
SOYBEANS;2003402000760;66316756.0;BARCARENA;GERMANY
SOYBEAN CAKE;2003402000760;64952474.19;SANTOS;INDONESIA
SOYBEANS;2003402000760;205746130.0;SANTOS;IRAN
SOYBEAN CAKE;2003402000760;30935501.415999997;SANTOS;IRELAND
SOYBEANS;2003402000760;69122944.0;BARCARENA;NETHERLANDS
SOYBEAN CAKE;2003402000760;24382943.8;SANTOS;NETHERLANDS
SOYBEAN CAKE;2003402000760;420355468.184;SANTOS;THAILAND
SOYBEANS;2003402000760;211820370.0;SANTOS;THAILAND
SOYBEAN CAKE;2003402000760;22681010.24;SANTOS;VIETNAM
SOYBEANS;2003402000760;13300000.0;SANTOS;VIETNAM
SOYBEANS;2003402000841;182516475.0;SANTOS;CHINA (MAINLAND)
SOYBEANS;2003402000841;71498230.0;SANTOS;IRAN
SOYBEANS;2003402000841;67071620.0;SANTOS;TAIWAN
SOYBEAN CAKE;2003402000841;64794308.48;SANTOS;THAILAND
SOYBEAN CAKE;2003402001228;1322257.5;SANTOS;MALAYSIA
SOYBEANS;2003402001228;1195140.0;SANTOS;MALAYSIA
SOYBEANS;2003402001228;106000000.0;SANTAREM;NETHERLANDS
SOYBEAN CAKE;2003402002038;3408485.9999999995;SANTOS;MALAYSIA
SOYBEANS;2003402002038;1653000.0;SANTOS;MALAYSIA
SOYBEAN CAKE;2003402002380;12781822.499999998;SANTOS;MALAYSIA
SOYBEANS;2003402002380;6612000.0;SANTOS;MALAYSIA
SOYBEAN CAKE;2003402002461;1028422.5;SANTOS;ANGOLA
SOYBEAN OIL;2003402002461;190961.82;SANTOS;GUYANA
SOYBEAN CAKE;2003402002461;528903.0;SANTOS;INDONESIA
SOYBEAN CAKE;2003402002461;26100672.28;SANTOS;MYANMAR
SOYBEAN CAKE;2003402002461;16477943.065999998;SANTOS;POLAND
SOYBEAN CAKE;2003402002542;852121.4999999999;SANTOS;MALAYSIA
SOYBEANS;2003402003433;128098576.0;RIO GRANDE;CHINA (MAINLAND)
SOYBEANS;2003402003514;92155000.0;RIO GRANDE;CHINA (MAINLAND)
SOYBEANS;2003402004677;158887116.0;SAO FRANCISCO DO SUL;CHINA (MAINLAND)
SOYBEANS;2003402004677;69133121.0;VITORIA;CHINA (MAINLAND)
SOYBEANS;2003402004677;45043224.0;SAO FRANCISCO DO SUL;JAPAN
SOYBEANS;2003402004677;300000.0;SAO FRANCISCO DO SUL;TAIWAN
SOYBEAN CAKE;2003402004677;5637037.863999999;PARANAGUA;TURKEY
SOYBEANS;2003402004839;57070000.0;SAO LUIS;BANGLADESH
SOYBEANS;2003402004839;8000000.0;SALVADOR;MAURITIUS
SOYBEANS;2003402004839;67256592.0;SALVADOR;PORTUGAL
SOYBEANS;2003402004839;15000000.0;SALVADOR;UNITED KINGDOM
SOYBEAN OIL;2003402005720;1443399.9999999998;PARANAGUA;CHINA (MAINLAND)
SOYBEANS;2003402005720;517466202.0;PARANAGUA;CHINA (MAINLAND)
SOYBEANS;2003402005720;66000000.0;RIO GRANDE;CHINA (MAINLAND)
SOYBEAN CAKE;2003402005720;50776749.99999999;PARANAGUA;DENMARK
SOYBEAN CAKE;2003402005720;3299199.9999999995;PARANAGUA;EUROPEAN UNION
SOYBEAN OIL;2003402005720;6289099.999999999;PARANAGUA;INDIA
SOYBEANS;2003402005720;5000000.0;PARANAGUA;INDONESIA
SOYBEAN OIL;2003402005720;412400.0;PARANAGUA;MALAYSIA
