level;cnpj8;tax_municipality;cnpj
2;8880374;BR-3138203;8880374000150
2;2990334;BR-4320909;2990334000185
2;1994951;BR-4115200;1994951000196
2;79038097;BR-4113700;79038097000181
2;77294254;BR-5104609;77294254000437
2;60498706;BR-3170206;60498706013488
2;993264;BR-4101903;993264000517
2;993264;BR-4115200;993264006809
2;993264;BR-4115853;993264006477
2;10515785;BR-5209101;10515785000350
2;993264;BR-4102406;993264007449
2;993264;BR-4106407;993264007368
2;84046101;BR-2109502;84046101040306
2;84046101;BR-2109007;84046101034683
2;84046101;BR-5107602;84046101028365
2;84046101;BR-5107602;84046101024700
2;89428833;BR-4307005;89428833000161
2;77863223;BR-4103909;77863223010412
2;77863223;BR-5002407;77863223007543
2;60498706;BR-5102686;60498706028400
2;77863223;BR-4104303;77863223010684
2;77863223;BR-4103370;77863223006148
2;84046101;BR-2903201;84046101004938
2;77863223;BR-4102000;77863223005842
2;77863223;BR-4102000;77863223000379
2;77863223;BR-4102000;77863223002665
2;60498706;BR-2101400;60498706027276
2;84046101;BR-2101400;84046101039642
2;84046101;BR-2101400;84046101012523
2;60498706;BR-2101400;60498706012830
2;77863223;BR-5000609;77863223007110
2;84046101;BR-4306106;84046101030777
2;84046101;BR-2919553;84046101028950
2;60498706;BR-2903201;60498706025907
2;84046101;BR-2112001;84046101045707
2;546997;BR-3536505;546997000180
2;77890846;BR-4109401;77890846002708
2;84046101;BR-2911105;84046101043836
2;77294254;BR-4115200;77294254000356
2;77890846;BR-4109401;77890846001655
2;60498706;BR-3550308;60498706000157
2;10915101;BR-5106224;10915101000499
2;75904383;BR-4116109;75904383011166
2;60498706;BR-4113700;60498706008646
2;75904383;BR-4107504;75904383000202
2;15527906;BR-3526704;15527906003666
2;9071827;BR-5007901;9071827000160
2;29332398;BR-5107602;29332398000226
2;60498706;BR-3517406;60498706018285
2;60498706;BR-1505502;60498706037310
2;49213747;BR-3551702;49213747011828
2;77294254;BR-4104808;77294254005900
2;84046101;BR-4118204;84046101028101
2;84046101;BR-2919553;84046101006639
2;84046101;BR-2909307;84046101005900
2;15527906;BR-3550308;15527906000136
2;87548020;BR-4304606;87548020000260
2;77890846;BR-4109401;77890846004247
2;84046101;BR-3548500;84046101037941
2;84046101;BR-4115200;84046101027806
2;79114450;BR-4115200;79114450000408
2;10915101;BR-5107602;10915101000731
2;60498706;BR-2919553;60498706026202
2;60498706;BR-4115200;60498706016070
2;6315338;BR-3550308;6315338000119
2;50290329;BR-3506102;50290329004876
2;60498706;BR-4119905;60498706004144
2;77890846;BR-4109401;77890846004328
2;79114450;BR-4115200;79114450001722
2;84046101;BR-3554003;84046101046770
2;76093731;BR-4116703;76093731000271
2;77294254;BR-4118204;77294254002057
2;50290329;BR-3550308;50290329000102
2;75904383;BR-4118204;75904383006324
2;29332398;BR-3550308;29332398000145
2;84046101;BR-3548500;84046101054285
2;75904383;BR-4107504;75904383021129
2;75904383;BR-4104303;75904383000636
2;84046101;BR-4118204;84046101028284
2;49213747;BR-3525102;49213747009840
2;84046101;BR-2928901;84046101006043
2;84046101;BR-3548500;84046101058272
2;1459630;BR-4119905;1459630000272
2;50290329;BR-3534609;50290329000960
2;9077252;BR-3550308;9077252000193
2;2003402;BR-5104609;2003402002380
2;8641174;BR-4121406;8641174000145
2;4463344;BR-5102637;4463344001240
2;77863223;BR-4115358;77863223001693
2;77863223;BR-4114500;77863223010846
2;77863223;BR-4114005;77863223010250
2;77863223;BR-4115358;77863223001189
2;77863223;BR-4115358;77863223000298
2;60498706;BR-5106224;60498706033080
2;77863223;BR-4116802;77863223010501
2;77863223;BR-5005707;77863223009678
2;84046101;BR-1505502;84046101041469
2;77863223;BR-4119608;77863223011575
2;77863223;BR-5106240;77863223009325
2;77863223;BR-4117222;77863223003203
2;77863223;BR-5106224;77863223001340
2;77863223;BR-4117909;77863223003394
2;77863223;BR-5003801;77863223006652
2;77863223;BR-5103700;77863223014086
2;77863223;BR-4108320;77863223004790
2;84046101;BR-2911105;84046101028527
2;84046101;BR-2911105;84046101041116
2;84046101;BR-5103502;84046101005233
2;77863223;BR-5003702;77863223009759
2;77863223;BR-5004502;77863223007977
2;77863223;BR-4109401;77863223011656
2;77863223;BR-4108601;77863223010331
2;77863223;BR-4127403;77863223013780
2;77863223;BR-4127403;77863223000450
2;77863223;BR-4127403;77863223000700
2;77863223;BR-4127205;77863223009830
2;77863223;BR-5007950;77863223008434
2;12377;BR-5218805;12377000160
2;77863223;BR-5108501;77863223008000
2;77863223;BR-5007208;77863223006490
2;77863223;BR-4122503;77863223010099
2;77863223;BR-5107248;77863223007381
2;60498706;BR-2109700;60498706026628
2;60498706;BR-2109007;60498706003687
2;77863223;BR-4121109;77863223010170
2;84046101;BR-2111300;84046101022405
2;60498706;BR-5107354;60498706009707
2;84046101;BR-1506708;84046101049443
2;77863223;BR-4125001;77863223011060
2;60498706;BR-2928901;60498706030730
2;2003402;BR-5002407;2003402001228
2;993264;BR-4113700;993264001912
2;2990334;BR-4320909;2990334000690
2;2644907;BR-4101804;2644907000380
2;2734023;BR-5105259;2734023001399
2;7424099;BR-3516200;7424099000106
2;75904383;BR-4109401;75904383010356
2;75904383;BR-4208450;75904383012480
2;75904383;BR-5003702;75904383021200
2;75904383;BR-4104303;75904383003309
2;84046101;BR-4109401;84046101040063
2;84046101;BR-4110078;84046101045022
2;84046101;BR-2109700;84046101038751
2;84046101;BR-3301702;84046101057977
2;84046101;BR-4216206;84046101000940
2;87548020;BR-4314902;87548020000180
2;87548020;BR-4315602;87548020002042
2;37519956;BR-5102678;37519956000104
2;27515154;BR-2905701;27515154001144
2;27515154;BR-2906501;27515154001225
2;88676127;BR-4304606;88676127000419
3;84046101;BR-5212501;84046101005748
3;91830836;BR-4118204;91830836003003
3;2003402;BR-4209003;2003402004677
