product_type,exporter_cnpj,vol,port_of_export,country_of_destination,level,cnpj8,tax_municipality,cnpj,exporter_cnpj_8,branch,tax_municipality_type
SOYBEANS,6315338000119,33380000.0,PARANAGUA,PAKISTAN,2,6315338,BR-3550308,6315338000119,6315338,Branch 2,logistics hub
SOYBEAN CAKE,6315338000119,61859999.99999999,RIO GRANDE,SLOVENIA,2,6315338,BR-3550308,6315338000119,6315338,Branch 2,logistics hub
SOYBEANS,6315338000119,3343642.0,PARANAGUA,SOUTH KOREA,2,6315338,BR-3550308,6315338000119,6315338,Branch 2,logistics hub
SOYBEANS,6315338000119,10000000.0,VITORIA,TAIWAN,2,6315338,BR-3550308,6315338000119,6315338,Branch 2,logistics hub
SOYBEANS,6315338000119,1761348.0,SAO LUIS,TURKEY,2,6315338,BR-3550308,6315338000119,6315338,Branch 2,logistics hub
SOYBEANS,6315338000119,5393620.0,PARANAGUA,VIETNAM,2,6315338,BR-3550308,6315338000119,6315338,Branch 2,logistics hub
SOYBEANS,6315338000119,3000000.0,SAO LUIS,VIETNAM,2,6315338,BR-3550308,6315338000119,6315338,Branch 2,logistics hub
SOYBEANS,6315338000380,69495000.0,BARCARENA,CHINA (MAINLAND),4,6315338,BR-3548500,6315338000380,6315338,out of scope,
SOYBEANS,6315338000380,28400000.0,SANTOS,CHINA (MAINLAND),4,6315338,BR-3548500,6315338000380,6315338,out of scope,
SOYBEANS,6315338000380,15300000.0,SAO FRANCISCO DO SUL,CHINA (MAINLAND),4,6315338,BR-3548500,6315338000380,6315338,out of scope,
SOYBEANS,6315338000380,45968484.0,BARCARENA,EUROPEAN UNION,4,6315338,BR-3548500,6315338000380,6315338,out of scope,
SOYBEAN CAKE,6315338000380,44333000.0,SANTOS,INDONESIA,4,6315338,BR-3548500,6315338000380,6315338,out of scope,
SOYBEANS,6315338000461,117290667.0,PARANAGUA,CHINA (MAINLAND),4,6315338,BR-4118204,6315338000461,6315338,out of scope,
SOYBEANS,6315338000461,8753733.0,PARANAGUA,VIETNAM,4,6315338,BR-4118204,6315338000461,6315338,out of scope,
SOYBEAN CAKE,6315338000542,56704999.99999999,RIO GRANDE,FRANCE,4,6315338,BR-4113700,6315338000542,6315338,out of scope,
SOYBEANS,6315338000623,63912000.0,BARCARENA,CHINA (MAINLAND),4,6315338,BR-3101607,6315338000623,6315338,out of scope,
SOYBEANS,6315338000976,66780000.0,BARCARENA,CHINA (MAINLAND),4,6315338,BR-5107602,6315338000976,6315338,out of scope,
SOYBEANS,6315338001190,9544856.0,PARANAGUA,CHINA (MAINLAND),2,6315338,BR-5108907,6315338001190,6315338,Branch 2,logistics hub
SOYBEANS,6315338001352,71500000.0,SANTOS,THAILAND,2,6315338,BR-5102678,6315338001352,6315338,Branch 2,logistics hub
SOYBEANS,6315338001352,67600000.0,BARCARENA,TURKEY,2,6315338,BR-5102678,6315338001352,6315338,Branch 2,logistics hub
SOYBEANS,6315338001433,69613000.0,BARCARENA,CHINA (MAINLAND),4,6315338,BR-2933307,6315338001433,6315338,out of scope,
SOYBEANS,6315338001433,8900000.0,SALVADOR,CHINA (MAINLAND),4,6315338,BR-2933307,6315338001433,6315338,out of scope,
SOYBEANS,6315338001433,10000000.0,SALVADOR,PAKISTAN,4,6315338,BR-2933307,6315338001433,6315338,out of scope,
SOYBEANS,6315338001433,9731978.5,SALVADOR,SPAIN,4,6315338,BR-2933307,6315338001433,6315338,out of scope,
SOYBEANS,6315338001514,468000000.0,RIO GRANDE,CHINA (MAINLAND),4,6315338,BR-4314902,6315338001514,6315338,out of scope,
SOYBEANS,6315338001514,66000000.0,SANTOS,CHINA (MAINLAND),4,6315338,BR-4314902,6315338001514,6315338,out of scope,
SOYBEANS,6315338001514,29231289.0,SAO FRANCISCO DO SUL,CHINA (MAINLAND),4,6315338,BR-4314902,6315338001514,6315338,out of scope,
SOYBEANS,6315338001514,60000000.0,RIO GRANDE,GIBRALTAR,4,6315338,BR-4314902,6315338001514,6315338,out of scope,
SOYBEAN CAKE,6315338001514,66695389.99999999,RIO GRANDE,SINGAPORE,4,6315338,BR-4314902,6315338001514,6315338,out of scope,
SOYBEAN CAKE,6315338001514,121658000.0,RIO GRANDE,SLOVENIA,4,6315338,BR-4314902,6315338001514,6315338,out of scope,
SOYBEAN CAKE,6315338001514,61859999.99999999,RIO GRANDE,SPAIN,4,6315338,BR-4314902,6315338001514,6315338,out of scope,
SOYBEANS,6315338001514,60000000.0,RIO GRANDE,SPAIN,4,6315338,BR-4314902,6315338001514,6315338,out of scope,
SOYBEANS,6315338001514,16878000.0,RIO GRANDE,TAIWAN,4,6315338,BR-4314902,6315338001514,6315338,out of scope,
SOYBEANS,6315338001603,9093635.0,PARANAGUA,CHINA (MAINLAND),2,6315338,BR-4115200,6315338001603,6315338,Branch 2,logistics hub
SOYBEAN OIL,6315338001603,4020900.0,PARANAGUA,MADAGASCAR,2,6315338,BR-4115200,6315338001603,6315338,Branch 2,logistics hub
SOYBEANS,6315338001603,33000000.0,BARCARENA,TUNISIA,2,6315338,BR-4115200,6315338001603,6315338,Branch 2,logistics hub
SOYBEANS,6315338001948,7500000.0,SAO LUIS,SPAIN,4,6315338,BR-2919553,6315338001948,6315338,out of scope,
SOYBEANS,6315338001948,11878708.0,SALVADOR,TAIWAN,4,6315338,BR-2919553,6315338001948,6315338,out of scope,
SOYBEANS,6315338002324,81450000.0,SANTOS,CHINA (MAINLAND),5,6315338,BR-3551306,6315338002324,6315338,out of scope,
SOYBEANS,6315338002324,5300000.0,SAO FRANCISCO DO SUL,CHINA (MAINLAND),5,6315338,BR-3551306,6315338002324,6315338,out of scope,
SOYBEANS,6315338002324,6000000.0,SAO LUIS,EUROPEAN UNION,5,6315338,BR-3551306,6315338002324,6315338,out of scope,
SOYBEANS,6315338002324,32200000.0,BARCARENA,GIBRALTAR,5,6315338,BR-3551306,6315338002324,6315338,out of scope,
SOYBEANS,6315338002324,65000000.0,SANTOS,INDONESIA,5,6315338,BR-3551306,6315338002324,6315338,out of scope,
SOYBEANS,6315338002324,15000000.0,SAO FRANCISCO DO SUL,PAKISTAN,5,6315338,BR-3551306,6315338002324,6315338,out of scope,
SOYBEANS,6315338002324,32000000.0,BARCARENA,TURKEY,5,6315338,BR-3551306,6315338002324,6315338,out of scope,
SOYBEANS,6315338002405,71909000.0,SANTOS,CHINA (MAINLAND),2,6315338,BR-3529609,6315338002405,6315338,Branch 2,logistics hub
SOYBEANS,6315338002405,11500000.0,SAO FRANCISCO DO SUL,CHINA (MAINLAND),2,6315338,BR-3529609,6315338002405,6315338,Branch 2,logistics hub
SOYBEANS,6315338002405,12700000.0,VITORIA,CHINA (MAINLAND),2,6315338,BR-3529609,6315338002405,6315338,Branch 2,logistics hub
SOYBEANS,6315338002405,61864000.0,BARCARENA,SINGAPORE,2,6315338,BR-3529609,6315338002405,6315338,Branch 2,logistics hub
SOYBEANS,6315338002405,2536000.0,VITORIA,VIETNAM,2,6315338,BR-3529609,6315338002405,6315338,Branch 2,logistics hub
SOYBEANS,6315338003053,70000000.0,BARCARENA,TURKEY,4,6315338,BR-4119905,6315338003053,6315338,out of scope,
SOYBEANS,6315338003134,68400000.0,BARCARENA,CHINA (MAINLAND),2,6315338,BR-5107909,6315338003134,6315338,Branch 2,logistics hub
SOYBEANS,6315338015060,60500000.0,RIO GRANDE,BANGLADESH,4,6315338,BR-3540804,6315338015060,6315338,out of scope,
SOYBEAN CAKE,6315338015060,67014999.99999999,RIO GRANDE,CHINA (MAINLAND),4,6315338,BR-3540804,6315338015060,6315338,out of scope,
SOYBEANS,6315338015060,184280000.0,RIO GRANDE,CHINA (MAINLAND),4,6315338,BR-3540804,6315338015060,6315338,out of scope,
SOYBEANS,6315338015060,3300000.0,SANTOS,CHINA (MAINLAND),4,6315338,BR-3540804,6315338015060,6315338,out of scope,
SOYBEANS,6315338015060,14000000.0,SAO FRANCISCO DO SUL,CHINA (MAINLAND),4,6315338,BR-3540804,6315338015060,6315338,out of scope,
SOYBEANS,6315338015060,11000000.0,SAO LUIS,CHINA (MAINLAND),4,6315338,BR-3540804,6315338015060,6315338,out of scope,
SOYBEAN CAKE,6315338015060,64952999.99999999,SANTOS,INDONESIA,4,6315338,BR-3540804,6315338015060,6315338,out of scope,
SOYBEANS,6315338015140,12000000.0,RIO GRANDE,BANGLADESH,4,6315338,BR-3511102,6315338015140,6315338,out of scope,
SOYBEANS,6315338015140,140000000.0,RIO GRANDE,CHINA (MAINLAND),4,6315338,BR-3511102,6315338015140,6315338,out of scope,
SOYBEANS,6315338015140,60000000.0,SANTOS,CHINA (MAINLAND),4,6315338,BR-3511102,6315338015140,6315338,out of scope,
SOYBEANS,6315338015140,13000000.0,SAO FRANCISCO DO SUL,CHINA (MAINLAND),4,6315338,BR-3511102,6315338015140,6315338,out of scope,
SOYBEANS,6315338015140,66000000.0,SAO LUIS,CHINA (MAINLAND),4,6315338,BR-3511102,6315338015140,6315338,out of scope,
SOYBEAN CAKE,6315338015140,64839589.99999999,SANTOS,INDONESIA,4,6315338,BR-3511102,6315338015140,6315338,out of scope,
SOYBEANS,6315338015140,132000000.0,BARCARENA,ITALY,4,6315338,BR-3511102,6315338015140,6315338,out of scope,
SOYBEAN CAKE,6315338015140,51549999.99999999,RIO GRANDE,SLOVENIA,4,6315338,BR-3511102,6315338015140,6315338,out of scope,
SOYBEAN CAKE,6315338015140,64952999.99999999,SANTOS,SPAIN,4,6315338,BR-3511102,6315338015140,6315338,out of scope,
SOYBEANS,6315338015140,69300000.0,BARCARENA,TURKEY,4,6315338,BR-3511102,6315338015140,6315338,out of scope,
SOYBEANS,6338993000192,4548699.0,RIO GRANDE,THAILAND,2,6338993,BR-5105259,6338993000192,6338993,Branch 2,logistics hub
SOYBEANS,6855894000340,6397271.0,SAO LUIS,CHINA (MAINLAND),4,6855894,BR-2101400,6855894000340,6855894,out of scope,
SOYBEANS,6855894000692,914606.0,SAO LUIS,CHINA (MAINLAND),2,6855894,BR-2111300,6855894000692,6855894,Branch 2,logistics hub
SOYBEANS,6855894000692,30594.0,SAO LUIS,EUROPEAN UNION,2,6855894,BR-2111300,6855894000692,6855894,Branch 2,logistics hub
SOYBEANS,6855894001311,8736769.0,SAO LUIS,CHINA (MAINLAND),4,6855894,BR-2111300,6855894001311,6855894,out of scope,
SOYBEANS,7028528001270,132000000.0,SAO LUIS,THAILAND,4,7028528,BR-3516705,7028528001270,7028528,out of scope,
SOYBEANS,7028528004105,2373258.0,PARANAGUA,BANGLADESH,4,7028528,BR-5107925,7028528004105,7028528,out of scope,
SOYBEANS,7028528004105,1943641.0,PARANAGUA,CHINA (MAINLAND),4,7028528,BR-5107925,7028528004105,7028528,out of scope,
SOYBEANS,7028528004105,70363000.0,SAO LUIS,CHINA (MAINLAND),4,7028528,BR-5107925,7028528004105,7028528,out of scope,
SOYBEANS,7028528004296,38317337.0,PARANAGUA,BANGLADESH,4,7028528,BR-4115200,7028528004296,7028528,out of scope,
SOYBEANS,7028528004296,541108162.25,PARANAGUA,CHINA (MAINLAND),4,7028528,BR-4115200,7028528004296,7028528,out of scope,
SOYBEANS,7028528004296,6800000.0,PARANAGUA,IRAN,4,7028528,BR-4115200,7028528004296,7028528,out of scope,
SOYBEAN CAKE,7028528004296,1134100.0,PARANAGUA,POLAND,4,7028528,BR-4115200,7028528004296,7028528,out of scope,
SOYBEAN CAKE,7028528004296,2964606.477,PARANAGUA,SOUTH KOREA,4,7028528,BR-4115200,7028528004296,7028528,out of scope,
SOYBEANS,7028528004296,36829.0,PARANAGUA,TAIWAN,4,7028528,BR-4115200,7028528004296,7028528,out of scope,
SOYBEAN CAKE,7028528004539,64952999.99999999,RIO GRANDE,CHINA (MAINLAND),4,7028528,BR-4315602,7028528004539,7028528,out of scope,
SOYBEANS,7028528004539,583000000.0,RIO GRANDE,CHINA (MAINLAND),4,7028528,BR-4315602,7028528004539,7028528,out of scope,
SOYBEANS,7028528005420,71744716.0,SAO FRANCISCO DO SUL,CHINA (MAINLAND),4,7028528,BR-3548500,7028528005420,7028528,out of scope,
SOYBEANS,7028528005420,65974000.0,SAO LUIS,CHINA (MAINLAND),4,7028528,BR-3548500,7028528005420,7028528,out of scope,
SOYBEAN OIL,7118089000134,53885.215,SANTOS,VENEZUELA,1,7118089,BR-3504107,7118089000134,7118089,Branch 1,logistics hub
SOYBEANS,7424099000106,387941.0,SANTOS,CHINA (MAINLAND),2,7424099,BR-3516200,7424099000106,7424099,Branch 2,logistics hub
SOYBEANS,7476312000115,1000000.0,RIO GRANDE,TAIWAN,1,7476312,BR-4313334,7476312000115,7476312,Branch 1,logistics hub
SOYBEANS,7634590000820,10000000.0,SAO LUIS,EUROPEAN UNION,1,7634590,BR-2101400,7634590000820,7634590,Branch 1,logistics hub
SOYBEAN CAKE,7634590000820,14313701.889,SALVADOR,ROMANIA,1,7634590,BR-2101400,7634590000820,7634590,Branch 1,logistics hub
SOYBEAN OIL,7657789000105,1031000.0,PARANAGUA,CHINA (MAINLAND),3,7657789,BR-5215702,7657789000105,7657789,out of scope,
SOYBEAN OIL,7657789000105,1031000.0,PARANAGUA,INDIA,3,7657789,BR-5215702,7657789000105,7657789,out of scope,
SOYBEANS,7720307000106,62680.0,SANTOS,MEXICO,4,7720307,BR-4208203,7720307000106,7720307,out of scope,
SOYBEAN CAKE,7810032000100,1326954.7359999998,PARANAGUA,THAILAND,1,7810032,BR-4301602,7810032000100,7810032,Branch 1,logistics hub
SOYBEAN OIL,7903169001504,20444884.65,PARANAGUA,BANGLADESH,4,7903169,BR-4113700,7903169001504,7903169,out of scope,
SOYBEANS,7903169001504,8200000.0,PARANAGUA,CHINA (MAINLAND),4,7903169,BR-4113700,7903169001504,7903169,out of scope,
SOYBEAN OIL,7903169001504,773249.9999999999,PARANAGUA,EGYPT,4,7903169,BR-4113700,7903169001504,7903169,out of scope,
SOYBEAN CAKE,7903169001504,6989583.051,PARANAGUA,EUROPEAN UNION,4,7903169,BR-4113700,7903169001504,7903169,out of scope,
SOYBEAN CAKE,7903169001504,11026589.333,PARANAGUA,THAILAND,4,7903169,BR-4113700,7903169001504,7903169,out of scope,
SOYBEAN CAKE,7903169001687,24772157.641,PARANAGUA,EUROPEAN UNION,4,7903169,BR-4114807,7903169001687,7903169,out of scope,
SOYBEANS,8493354000127,2100000.0,PARANAGUA,IRAN,4,8493354,BR-3170107,8493354000127,8493354,out of scope,
SOYBEANS,8641174000145,200320.0,ITAJAI,NETHERLANDS,2,8641174,BR-4121406,8641174000145,8641174,Branch 2,logistics hub
SOYBEANS,8641174000145,500600.0,SAO FRANCISCO DO SUL,NETHERLANDS,2,8641174,BR-4121406,8641174000145,8641174,Branch 2,logistics hub
SOYBEAN CAKE,8842690000561,22561980.259,PARANAGUA,DENMARK,4,8842690,BR-4114807,8842690000561,8842690,out of scope,
SOYBEAN CAKE,8880374000150,899609.3599999999,PARANAGUA,POLAND,2,8880374,BR-3138203,8880374000150,8880374,Branch 2,logistics hub
SOYBEANS,8880374000150,884360.0,SANTOS,THAILAND,2,8880374,BR-3138203,8880374000150,8880374,Branch 2,logistics hub
SOYBEAN CAKE,9071827000160,27909.17,PARANAGUA,GUATEMALA,2,9071827,BR-5007901,9071827000160,9071827,Branch 2,logistics hub
SOYBEAN CAKE,9071827000160,26352.36,SAO FRANCISCO DO SUL,LITHUANIA,2,9071827,BR-5007901,9071827000160,9071827,Branch 2,logistics hub
SOYBEAN CAKE,9071827000160,81747.98999999999,SAO FRANCISCO DO SUL,PORTUGAL,2,9071827,BR-5007901,9071827000160,9071827,Branch 2,logistics hub
SOYBEAN CAKE,9071827000160,216510.0,SAO FRANCISCO DO SUL,SPAIN,2,9071827,BR-5007901,9071827000160,9071827,Branch 2,logistics hub
SOYBEAN CAKE,9071827000160,52725.34,PARANAGUA,THAILAND,2,9071827,BR-5007901,9071827000160,9071827,Branch 2,logistics hub
SOYBEAN CAKE,9071827000160,132071.09999999998,SAO FRANCISCO DO SUL,THAILAND,2,9071827,BR-5007901,9071827000160,9071827,Branch 2,logistics hub
SOYBEAN CAKE,9071827000160,3491460.88,SAO FRANCISCO DO SUL,TURKEY,2,9071827,BR-5007901,9071827000160,9071827,Branch 2,logistics hub
SOYBEAN CAKE,9071827000160,163001.09999999998,PARANAGUA,UNITED KINGDOM,2,9071827,BR-5007901,9071827000160,9071827,Branch 2,logistics hub
SOYBEAN CAKE,9071827000160,422555.35,SAO FRANCISCO DO SUL,UNITED KINGDOM,2,9071827,BR-5007901,9071827000160,9071827,Branch 2,logistics hub
SOYBEAN CAKE,9071827000160,104244.41,SAO FRANCISCO DO SUL,VENEZUELA,2,9071827,BR-5007901,9071827000160,9071827,Branch 2,logistics hub
SOYBEANS,9077252000193,131277769.5,BARCARENA,CHINA (MAINLAND),2,9077252,BR-3550308,9077252000193,9077252,Branch 2,logistics hub
SOYBEANS,9077252000193,324534128.0,SAO LUIS,CHINA (MAINLAND),2,9077252,BR-3550308,9077252000193,9077252,Branch 2,logistics hub
SOYBEANS,9077252000193,13407738.0,BARCARENA,EUROPEAN UNION,2,9077252,BR-3550308,9077252000193,9077252,Branch 2,logistics hub
SOYBEANS,9077252000193,30000000.0,SAO LUIS,EUROPEAN UNION,2,9077252,BR-3550308,9077252000193,9077252,Branch 2,logistics hub
SOYBEANS,9077252000193,7000000.0,SAO LUIS,MAURITIUS,2,9077252,BR-3550308,9077252000193,9077252,Branch 2,logistics hub
SOYBEANS,9077252000193,8500000.0,SAO LUIS,SPAIN,2,9077252,BR-3550308,9077252000193,9077252,Branch 2,logistics hub
SOYBEANS,9077252000193,48000000.0,SAO LUIS,THAILAND,2,9077252,BR-3550308,9077252000193,9077252,Branch 2,logistics hub
SOYBEANS,9077252000193,5064692.0,SAO LUIS,TURKEY,2,9077252,BR-3550308,9077252000193,9077252,Branch 2,logistics hub
SOYBEANS,9077252000193,4700000.0,SAO LUIS,VIETNAM,2,9077252,BR-3550308,9077252000193,9077252,Branch 2,logistics hub
SOYBEAN CAKE,9357997000459,2025142.781,PARANAGUA,EUROPEAN UNION,4,9357997,BR-2513703,9357997000459,9357997,out of scope,
SOYBEANS,9409968000140,1890312.0,SALVADOR,SPAIN,1,9409968,BR-5107602,9409968000140,9409968,Branch 1,logistics hub
SOYBEANS,9412398000148,129240.0078125,SANTOS,FRANCE,5,9412398,BR-3550308,9412398000148,9412398,out of scope,
SOYBEAN CAKE,9508910000154,3178078.12,PARANAGUA,FRANCE,1,9508910,BR-5107602,9508910000154,9508910,Branch 1,logistics hub
SOYBEAN CAKE,9508910000154,4466684.811000002,SANTOS,INDONESIA,1,9508910,BR-5107602,9508910000154,9508910,Branch 1,logistics hub
SOYBEAN CAKE,9508910000154,1752699.9999999998,SANTOS,VIETNAM,1,9508910,BR-5107602,9508910000154,9508910,Branch 1,logistics hub
SOYBEANS,9597095000147,6125950.0,RIO GRANDE,CHINA (MAINLAND),1,9597095,BR-2201150,9597095000147,9597095,Branch 1,logistics hub
SOYBEANS,10515785000199,7000000.0,SAO LUIS,CHINA (MAINLAND),1,10515785,BR-5208707,10515785000199,1051578,Branch 1,logistics hub
SOYBEANS,10515785000350,8807757.0,SAO LUIS,TURKEY,2,10515785,BR-5209101,10515785000350,1051578,Branch 2,logistics hub
SOYBEANS,10515785002051,15100000.0,SAO LUIS,EUROPEAN UNION,1,10515785,BR-2109502,10515785002051,1051578,Branch 1,logistics hub
SOYBEANS,10515785002213,23500000.0,SAO LUIS,EUROPEAN UNION,2,10515785,BR-2101400,10515785002213,1051578,Branch 2,logistics hub
SOYBEANS,10515785002213,3600000.0,SAO LUIS,SPAIN,2,10515785,BR-2101400,10515785002213,1051578,Branch 2,logistics hub
SOYBEANS,10515785002566,66000000.0,SAO LUIS,CHINA (MAINLAND),1,10515785,BR-2101400,10515785002566,1051578,Branch 1,logistics hub
SOYBEANS,10515785002728,66150000.0,SAO LUIS,CHINA (MAINLAND),1,10515785,BR-2101400,10515785002728,1051578,Branch 1,logistics hub
SOYBEANS,10515785003457,7000000.0,SAO LUIS,SPAIN,4,10515785,BR-2919553,10515785003457,1051578,out of scope,
SOYBEANS,10515785007282,66000000.0,SAO LUIS,CHINA (MAINLAND),3,10515785,BR-4115200,10515785007282,1051578,out of scope,
SOYBEANS,10515785007282,7500.0,SAO LUIS,PORTUGAL,3,10515785,BR-4115200,10515785007282,1051578,out of scope,
SOYBEAN CAKE,10642138000148,5339406.721999999,PARANAGUA,EUROPEAN UNION,1,10642138,BR-5107040,10642138000148,1064213,Branch 1,logistics hub
SOYBEAN CAKE,10642138000148,12671557.05,SALVADOR,ROMANIA,1,10642138,BR-5107040,10642138000148,1064213,Branch 1,logistics hub
SOYBEANS,10671911000102,6000000.0,SAO FRANCISCO DO SUL,CHINA (MAINLAND),2,10671911,BR-5107040,10671911000102,1067191,Branch 2,logistics hub
SOYBEAN CAKE,10915101000146,3092999.9999999995,PARANAGUA,SOUTH KOREA,1,10915101,BR-5107602,10915101000146,1091510,Branch 1,logistics hub
SOYBEAN CAKE,10915101000146,3917800.0,PARANAGUA,TURKEY,1,10915101,BR-5107602,10915101000146,1091510,Branch 1,logistics hub
SOYBEAN CAKE,10915101000146,2062000.0,SANTOS,TURKEY,1,10915101,BR-5107602,10915101000146,1091510,Branch 1,logistics hub
SOYBEAN CAKE,10915101000499,13918499.999999998,PARANAGUA,EUROPEAN UNION,2,10915101,BR-5106224,10915101000499,1091510,Branch 2,logistics hub
SOYBEAN CAKE,10915101000499,4191328.424,PARANAGUA,FRANCE,2,10915101,BR-5106224,10915101000499,1091510,Branch 2,logistics hub
SOYBEAN CAKE,10915101000731,11341000.0,PARANAGUA,EUROPEAN UNION,2,10915101,BR-5107602,10915101000731,1091510,Branch 2,logistics hub
SOYBEAN CAKE,10915101000731,3020829.9999999995,PARANAGUA,FRANCE,2,10915101,BR-5107602,10915101000731,1091510,Branch 2,logistics hub
SOYBEAN CAKE,10915101000731,7407421.5759999985,PARANAGUA,SOUTH KOREA,2,10915101,BR-5107602,10915101000731,1091510,Branch 2,logistics hub
SOYBEAN CAKE,10915101000731,2577500.0,PARANAGUA,SPAIN,2,10915101,BR-5107602,10915101000731,1091510,Branch 2,logistics hub
SOYBEAN CAKE,10915101000731,72170.0,PARANAGUA,TURKEY,2,10915101,BR-5107602,10915101000731,1091510,Branch 2,logistics hub
SOYBEANS,10962697000135,37000000.0,SALVADOR,CHINA (MAINLAND),1,10962697,BR-2919553,10962697000135,1096269,Branch 1,logistics hub
SOYBEANS,10962697000135,412247814.0,SAO LUIS,CHINA (MAINLAND),1,10962697,BR-2919553,10962697000135,1096269,Branch 1,logistics hub
SOYBEANS,10962697000135,22700000.0,SAO LUIS,EUROPEAN UNION,1,10962697,BR-2919553,10962697000135,1096269,Branch 1,logistics hub
SOYBEANS,10962697000135,58000000.0,SAO LUIS,ISRAEL,1,10962697,BR-2919553,10962697000135,1096269,Branch 1,logistics hub
SOYBEANS,10962697000135,10000000.0,SALVADOR,MAURITIUS,1,10962697,BR-2919553,10962697000135,1096269,Branch 1,logistics hub
SOYBEANS,10962697000135,7000000.0,SAO LUIS,MAURITIUS,1,10962697,BR-2919553,10962697000135,1096269,Branch 1,logistics hub
SOYBEANS,10962697000135,7200.0,SAO LUIS,PORTUGAL,1,10962697,BR-2919553,10962697000135,1096269,Branch 1,logistics hub
SOYBEANS,10962697000135,1500000.0,SALVADOR,SPAIN,1,10962697,BR-2919553,10962697000135,1096269,Branch 1,logistics hub
SOYBEANS,10962697000135,10000000.0,SAO LUIS,SPAIN,1,10962697,BR-2919553,10962697000135,1096269,Branch 1,logistics hub
SOYBEANS,10962697000135,11000000.0,SALVADOR,TAIWAN,1,10962697,BR-2919553,10962697000135,1096269,Branch 1,logistics hub
SOYBEANS,10962697000135,71178000.0,SAO LUIS,THAILAND,1,10962697,BR-2919553,10962697000135,1096269,Branch 1,logistics hub
SOYBEANS,10962697000135,64613000.0,SAO LUIS,TURKEY,1,10962697,BR-2919553,10962697000135,1096269,Branch 1,logistics hub
SOYBEANS,10962697000135,12000000.0,SAO LUIS,VIETNAM,1,10962697,BR-2919553,10962697000135,1096269,Branch 1,logistics hub
SOYBEANS,10962697000216,56209992.0,SALVADOR,PORTUGAL,1,10962697,BR-2909307,10962697000216,1096269,Branch 1,logistics hub
SOYBEANS,10962697000216,11000000.0,SALVADOR,SPAIN,1,10962697,BR-2909307,10962697000216,1096269,Branch 1,logistics hub
SOYBEANS,10962697000305,15000000.0,SAO LUIS,CHINA (MAINLAND),4,10962697,BR-2101400,10962697000305,1096269,out of scope,
SOYBEAN CAKE,11092881000134,4740600.891,PARANAGUA,POLAND,4,11092881,BR-5209101,11092881000134,1109288,out of scope,
SOYBEAN OIL,11122853000112,83527.496,PARANAGUA,BANGLADESH,5,11122853,BR-3530508,11122853000112,1112285,out of scope,
SOYBEAN CAKE,11122853000112,174795.74,PARANAGUA,FRANCE,5,11122853,BR-3530508,11122853000112,1112285,out of scope,
SOYBEANS,12006181000142,6300000.0,VITORIA,CHINA (MAINLAND),1,12006181,BR-3170206,12006181000142,1200618,Branch 1,logistics hub
SOYBEANS,12006181000142,120992020.0,IMBITUBA,RUSSIAN FEDERATION,1,12006181,BR-3170206,12006181000142,1200618,Branch 1,logistics hub
SOYBEANS,12006181000142,1236000.0,VITORIA,THAILAND,1,12006181,BR-3170206,12006181000142,1200618,Branch 1,logistics hub
SOYBEANS,12006181001033,57032438.0,SANTOS,CHINA (MAINLAND),3,12006181,BR-3549409,12006181001033,1200618,out of scope,
SOYBEANS,12006181001033,5000000.0,VITORIA,CHINA (MAINLAND),3,12006181,BR-3549409,12006181001033,1200618,out of scope,
SOYBEAN CAKE,12006181001033,1991836.326,SANTOS,POLAND,3,12006181,BR-3549409,12006181001033,1200618,out of scope,
SOYBEANS,12006181001033,8300000.0,SANTOS,THAILAND,3,12006181,BR-3549409,12006181001033,1200618,out of scope,
SOYBEANS,12006181001033,4150000.0,SANTOS,VIETNAM,3,12006181,BR-3549409,12006181001033,1200618,out of scope,
SOYBEANS,13009252000123,130169720.0,SANTOS,CHINA (MAINLAND),4,13009252,BR-3550308,13009252000123,1300925,out of scope,
SOYBEAN CAKE,13797986000114,5530923.22,PARANAGUA,POLAND,1,13797986,BR-2919553,13797986000114,1379798,Branch 1,logistics hub
SOYBEANS,14796754000104,918120364.0,PARANAGUA,CHINA (MAINLAND),4,14796754,BR-3550308,14796754000104,1479675,out of scope,
SOYBEANS,14796754000104,300364841.0,SANTOS,CHINA (MAINLAND),4,14796754,BR-3550308,14796754000104,1479675,out of scope,
SOYBEAN CAKE,14796754000104,2399446.3,PARANAGUA,FRANCE,4,14796754,BR-3550308,14796754000104,1479675,out of scope,
SOYBEANS,14796754000104,19000000.0,SANTOS,JAPAN,4,14796754,BR-3550308,14796754000104,1479675,out of scope,
SOYBEANS,14796754000104,15109871.0,SANTOS,PHILIPPINES,4,14796754,BR-3550308,14796754000104,1479675,out of scope,
SOYBEAN CAKE,14796754000104,8247999.999999999,PARANAGUA,POLAND,4,14796754,BR-3550308,14796754000104,1479675,out of scope,
SOYBEAN CAKE,14796754000104,1546499.9999999998,PARANAGUA,SLOVENIA,4,14796754,BR-3550308,14796754000104,1479675,out of scope,
SOYBEAN CAKE,14796754000104,16956214.687,PARANAGUA,SOUTH KOREA,4,14796754,BR-3550308,14796754000104,1479675,out of scope,
SOYBEANS,14796754000104,1850000.0,PARANAGUA,THAILAND,4,14796754,BR-3550308,14796754000104,1479675,out of scope,
SOYBEANS,14796754000104,24314160.0,SANTOS,THAILAND,4,14796754,BR-3550308,14796754000104,1479675,out of scope,
