product_type,exporter_cnpj,vol,port_of_export,country_of_destination,level,cnpj8,tax_municipality,cnpj,exporter_cnpj_8,branch,tax_municipality_type
SOYBEANS,969790000118,6800000.0,VITORIA,CHINA (MAINLAND),1,969790,BR-5208707,969790000118,9697900,Branch 1,logistics hub
SOYBEAN CAKE,969790000541,7850756.731000002,SANTOS,AUSTRALIA,1,969790,BR-3103504,969790000541,9697900,Branch 1,logistics hub
SOYBEAN CAKE,969790000541,1864211.929,SANTOS,CANADA,1,969790,BR-3103504,969790000541,9697900,Branch 1,logistics hub
SOYBEAN CAKE,969790000541,93790327.75,SANTOS,CHILE,1,969790,BR-3103504,969790000541,9697900,Branch 1,logistics hub
SOYBEANS,969790000541,11564419.0,VITORIA,CHINA (MAINLAND),1,969790,BR-3103504,969790000541,9697900,Branch 1,logistics hub
SOYBEAN CAKE,969790000541,2718699.574,SANTOS,COLOMBIA,1,969790,BR-3103504,969790000541,9697900,Branch 1,logistics hub
SOYBEAN CAKE,969790000541,553523.2799999999,SANTOS,COSTA RICA,1,969790,BR-3103504,969790000541,9697900,Branch 1,logistics hub
SOYBEAN CAKE,969790000541,26285.345,SANTOS,CROATIA,1,969790,BR-3103504,969790000541,9697900,Branch 1,logistics hub
SOYBEAN CAKE,969790000541,543625.6799999999,SANTOS,DENMARK,1,969790,BR-3103504,969790000541,9697900,Branch 1,logistics hub
SOYBEAN CAKE,969790000541,1079385.8609999998,SANTOS,ECUADOR,1,969790,BR-3103504,969790000541,9697900,Branch 1,logistics hub
SOYBEAN CAKE,969790000541,47374625.27,SANTOS,EUROPEAN UNION,1,969790,BR-3103504,969790000541,9697900,Branch 1,logistics hub
SOYBEAN CAKE,969790000541,169719.09599999993,SANTOS,GUATEMALA,1,969790,BR-3103504,969790000541,9697900,Branch 1,logistics hub
SOYBEAN CAKE,969790000541,1017357.808,SANTOS,HONDURAS,1,969790,BR-3103504,969790000541,9697900,Branch 1,logistics hub
SOYBEAN CAKE,969790000541,532975.4500000001,SANTOS,INDONESIA,1,969790,BR-3103504,969790000541,9697900,Branch 1,logistics hub
SOYBEAN CAKE,969790000541,273699.56999999995,SANTOS,JAPAN,1,969790,BR-3103504,969790000541,9697900,Branch 1,logistics hub
SOYBEAN CAKE,969790000541,721337.088,SANTOS,JORDAN,1,969790,BR-3103504,969790000541,9697900,Branch 1,logistics hub
SOYBEAN CAKE,969790000541,2380310.94,SANTOS,MALAYSIA,1,969790,BR-3103504,969790000541,9697900,Branch 1,logistics hub
SOYBEAN CAKE,969790000541,337178.24,SANTOS,MEXICO,1,969790,BR-3103504,969790000541,9697900,Branch 1,logistics hub
SOYBEAN CAKE,969790000541,898970.1399999999,SANTOS,NETHERLANDS,1,969790,BR-3103504,969790000541,9697900,Branch 1,logistics hub
SOYBEAN CAKE,969790000541,127290.353,SANTOS,NICARAGUA,1,969790,BR-3103504,969790000541,9697900,Branch 1,logistics hub
SOYBEAN CAKE,969790000541,105915.661,SANTOS,PERU,1,969790,BR-3103504,969790000541,9697900,Branch 1,logistics hub
SOYBEAN CAKE,969790000541,4012229.29,SANTOS,PHILIPPINES,1,969790,BR-3103504,969790000541,9697900,Branch 1,logistics hub
SOYBEAN CAKE,969790000541,1084248.057,SANTOS,SOUTH KOREA,1,969790,BR-3103504,969790000541,9697900,Branch 1,logistics hub
SOYBEAN CAKE,969790000541,155237.66999999998,SANTOS,TAIWAN,1,969790,BR-3103504,969790000541,9697900,Branch 1,logistics hub
SOYBEAN CAKE,969790000541,2052279.732,SANTOS,THAILAND,1,969790,BR-3103504,969790000541,9697900,Branch 1,logistics hub
SOYBEAN CAKE,969790000541,2086104.78,SANTOS,UNITED KINGDOM,1,969790,BR-3103504,969790000541,9697900,Branch 1,logistics hub
SOYBEAN CAKE,969790000541,726049.7890000001,SANTOS,UNITED STATES,1,969790,BR-3103504,969790000541,9697900,Branch 1,logistics hub
SOYBEAN CAKE,969790000541,20143716.147,SANTOS,VIETNAM,1,969790,BR-3103504,969790000541,9697900,Branch 1,logistics hub
SOYBEANS,969790001602,8800000.0,SANTOS,CHINA (MAINLAND),5,969790,BR-3103504,969790001602,9697900,out of scope,
SOYBEAN CAKE,969790001602,27263.764,SANTOS,JAPAN,5,969790,BR-3103504,969790001602,9697900,out of scope,
SOYBEAN CAKE,969790001602,20544994.75,SANTOS,TAIWAN,5,969790,BR-3103504,969790001602,9697900,out of scope,
SOYBEANS,969790001866,4000000.0,VITORIA,THAILAND,4,969790,BR-5101803,969790001866,9697900,out of scope,
SOYBEANS,993264000517,17000000.0,PARANAGUA,CHINA (MAINLAND),2,993264,BR-4101903,993264000517,9932640,Branch 2,logistics hub
SOYBEANS,993264001912,1000000.0,PARANAGUA,CHINA (MAINLAND),2,993264,BR-4113700,993264001912,9932640,Branch 2,logistics hub
SOYBEANS,993264006477,28900000.0,PARANAGUA,CHINA (MAINLAND),2,993264,BR-4115853,993264006477,9932640,Branch 2,logistics hub
SOYBEANS,993264006809,20000000.0,PARANAGUA,CHINA (MAINLAND),2,993264,BR-4115200,993264006809,9932640,Branch 2,logistics hub
SOYBEANS,993264006809,2300000.0,SANTOS,VIETNAM,2,993264,BR-4115200,993264006809,9932640,Branch 2,logistics hub
SOYBEANS,993264007368,2100000.0,PARANAGUA,CHINA (MAINLAND),2,993264,BR-4106407,993264007368,9932640,Branch 2,logistics hub
SOYBEANS,993264007449,5000000.0,PARANAGUA,CHINA (MAINLAND),2,993264,BR-4102406,993264007449,9932640,Branch 2,logistics hub
SOYBEANS,1236287000116,5000000.0,PARANAGUA,CHINA (MAINLAND),1,1236287,BR-4113700,1236287000116,1236287,Branch 1,logistics hub
SOYBEANS,1236287000116,87350315.0,SAO FRANCISCO DO SUL,CHINA (MAINLAND),1,1236287,BR-4113700,1236287000116,1236287,Branch 1,logistics hub
